created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2026-05-13T16:40:37+00:00,1,0.00000,0.00000,0.00000,,,,
2026-05-13T16:43:02+00:00,2,10.00000,29.60000,55.30000,,,,
2026-05-13T16:43:17+00:00,3,25.00000,29.60000,57.30000,,,,
2026-05-13T16:43:32+00:00,4,11.00000,29.60000,56.90000,,,,
2026-05-13T16:43:47+00:00,5,29.00000,29.60000,54.80000,,,,
2026-05-13T16:44:02+00:00,6,7.00000,29.60000,56.20000,,,,
2026-05-13T16:44:32+00:00,7,32.00000,29.60000,57.50000,,,,
2026-05-13T16:44:48+00:00,8,473.00000,29.50000,58.10000,,,,
2026-05-13T16:45:18+00:00,9,166.00000,29.30000,56.60000,,,,
2026-05-13T16:45:33+00:00,10,182.00000,29.30000,54.70000,,,,
2026-05-13T16:45:48+00:00,11,8.00000,29.20000,54.30000,,,,
2026-05-13T16:46:18+00:00,12,7.00000,29.30000,55.40000,,,,
2026-05-13T16:46:48+00:00,13,476.00000,29.30000,57.00000,,,,
2026-05-13T16:47:18+00:00,14,157.00000,29.40000,56.40000,,,,
2026-05-13T16:47:48+00:00,15,4.00000,29.40000,56.80000,,,,
2026-05-13T16:48:18+00:00,16,150.00000,29.50000,55.60000,,,,
2026-05-13T16:48:33+00:00,17,11.00000,29.60000,56.20000,,,,
2026-05-13T16:48:48+00:00,18,15.00000,29.60000,54.60000,,,,
2026-05-13T16:49:03+00:00,19,30.00000,29.60000,54.10000,,,,
2026-05-13T16:49:18+00:00,20,28.00000,29.50000,54.90000,,,,
2026-05-13T16:49:33+00:00,21,20.00000,29.60000,54.10000,,,,
2026-05-13T16:49:48+00:00,22,232.00000,29.50000,54.90000,,,,
2026-05-13T16:50:18+00:00,23,166.00000,29.50000,53.80000,,,,
2026-05-13T16:50:48+00:00,24,182.00000,29.50000,57.20000,,,,
2026-05-13T16:51:36+00:00,25,0.00000,0.00000,0.00000,,,,
2026-05-13T16:53:12+00:00,26,0.00000,29.30000,53.50000,,,,
2026-05-13T16:53:27+00:00,27,6.00000,29.30000,54.60000,,,,
2026-05-13T16:53:43+00:00,28,13.00000,29.40000,54.90000,,,,
2026-05-13T16:54:13+00:00,29,482.00000,29.40000,53.70000,,,,
2026-05-13T16:54:28+00:00,30,183.00000,29.40000,53.10000,,,,
2026-05-13T16:54:58+00:00,31,125.00000,29.30000,52.60000,,,,
